epxression;description
ARA;Abwasserreinigungsanlage
BAFU;Bundesamt für Umwelt
Binnenverkehr; Verkehr, der seinen Start- und Endpunkt der Strecke innerhalb des Kantonsgebiets hat
BVD; Bau- und Verkehrsdepartement
CCS; Carbon Capture and Storage. Siehe Kasten auf Seite 43 für weitere Informationen.
ChemRRV; Chemikalien-Risikoreduktions-Verordnung
CO2eq; Emissionswert, in dem alle Treibhausgasemissionen gewichtet nach ihrem globalen Erwärmungspotenzial (GWP) in CO2-Emissionen umgerechnet werden.
EBF; Energiebezugsfläche. Als Energiebezugsfläche wird die Summe aller ober- und unterirdischen Geschossflächen bezeichnet, die im Gebäude beheizt oder klimatisiert sind (Definition nach SIA380/1:2009).
GEAK (Plus); Gebäudeenergieausweis der Kantone. Er gibt Auskunft über den energetischen Zustand einer Liegenschaft. Das Plus bezieht sich auf den Beratungsbericht, der zusätzlich zum GEAK ausgestellt werden kann und verschiedene, energetische Sanierungsvarianten aufzeigt (AUE 2023)
Hochdruckgasnetz; Gasnetz, das zur Versorgung der Industrie mit Gas für industrielle Prozesse verwendet wird.
IBS; Immobilien Basel-Stadt
IPCC; Intergovernmental Panel on Climate Change
KVA; Kehrichtverwertungsanlage
LHA; Lufthygieneamt beider Basel
MIV; Motorisierter Individualverkehr
MuKEn; Mustervorschriften der Kantone im Energiebereich
NET; Negativemissionstechnologien. Siehe Kasten auf Seite 45 für weitere Informationen.
Niederdruckgasnetz; Gasnetz mit einem tiefen Druck, das durch Versorgung von Liegenschaften mit Erdgas insbesondere für die Heizung verwendet wird
NWRK; Nordwestschweizer Regierungskonferenz
PV; Photovoltaik
Quellverkehr; Verkehr, der seinen Ursprung im Kanton hat, aber ein Ziel ausserhalb des Kantonsgebiets ansteuert.
RCP; 2.6; Representative concentration pathway oder repräsentativer Konzentrationspfad 2.6 ist ein Szenario des IPCC und beschreibt einen beschränkten Klimawandel, wobei die Temperaturabweichung gegenüber der Normperiode (1981–2010) im Kanton Basel-Stadt bis 2060 +2° Celsius übersteigen wird. 
RCP 8.5; Representative concentration pathway oder repräsentativer Konzentrationspfad 8.5 ist ein Szenario  des IPCC und beschreibt einen starken Klimawandel, wobei die Temperaturabweichung gegenüber der Normperiode (1981–2010) im Kanton Basel-Stadt bis 2060 +4° Celsius übersteigen wird.
RSMVA; Regionale Sondermüllverwertungsanlage
WIE; Wärmeinseleffekt oder urbaner Wärmeinseleffekt, bezeichnet die Erhöhung der Temperaturen in städtischen Gebieten. Dies liegt daran, dass Beton, Asphalt und andere Materialien in Städten Wärme speichern und reflektieren können, während Bäume und Grünflächen in ländlichen Gebieten die Wärme absorbieren und verdunsten können. Darüber hinaus produzieren städtische Aktivitäten wie Verkehr und Industrie auch Wärme, die zur Erwärmung der städtischen Umgebung beiträgt. 
Zielverkehr; Verkehr, der von ausserhalb des Kantons in das Kantonsgebiet führt
